#城市,开始时间,时段名称,时长,是否高峰
北京,06:03:30,广告-1,00:02:30,0
北京,06:11:00,广告-2,00:02:30,0
北京,06:18:30,广告-3,00:02:30,0
北京,06:26:00,广告-4,00:02:30,0
北京,06:34:30,广告-5,00:02:30,0
北京,06:42:00,广告-6,00:02:30,0
北京,06:49:30,广告-7,00:02:30,0
北京,06:57:00,广告-8,00:02:30,0
北京,07:05:00,广告-9,00:03:00,0
北京,07:13:00,广告-10,00:03:00,0
北京,07:21:00,广告-11,00:03:00,0
北京,07:30:00,广告-12,00:03:00,0
北京,07:38:00,广告-13,00:03:00,0
北京,07:46:00,广告-14,00:03:00,0
北京,07:54:00,广告-15,00:03:00,0
北京,08:05:00,广告-16,00:03:00,0
北京,08:13:00,广告-17,00:03:00,0
北京,08:21:00,广告-18,00:03:00,0
北京,08:30:00,广告-19,00:03:00,1
北京,08:38:00,广告-20,00:03:00,1
北京,08:46:00,广告-21,00:03:00,1
北京,08:54:00,广告-22,00:03:00,1
北京,09:05:00,广告-23,00:03:00,1
北京,09:13:00,广告-24,00:03:00,1
北京,09:21:00,广告-25,00:03:00,1
北京,09:29:00,广告-26,00:03:00,1
北京,09:38:30,广告-27,00:03:00,1
北京,09:46:30,广告-28,00:03:00,1
北京,09:54:30,广告-29,00:03:00,1
北京,10:05:00,广告-30,00:03:00,1
北京,10:13:00,广告-31,00:03:00,1
北京,10:21:00,广告-32,00:03:00,1
北京,10:29:00,广告-33,00:03:00,1
北京,10:38:30,广告-34,00:03:00,0
北京,10:46:30,广告-35,00:03:00,0
北京,10:54:30,广告-36,00:03:00,0
北京,11:05:00,广告-37,00:03:00,0
北京,11:13:00,广告-38,00:03:00,0
北京,11:21:00,广告-39,00:03:00,0
北京,11:29:00,广告-40,00:03:00,0
北京,11:38:30,广告-41,00:03:00,0
北京,11:46:30,广告-42,00:03:00,0
北京,11:54:30,广告-43,00:03:00,0
北京,12:05:00,广告-44,00:03:00,0
北京,12:13:00,广告-45,00:03:00,0
北京,12:21:00,广告-46,00:03:00,0
北京,12:29:00,广告-47,00:03:00,0
北京,12:38:30,广告-48,00:03:00,0
北京,12:46:30,广告-49,00:03:00,0
北京,12:54:30,广告-50,00:03:00,0
北京,13:05:00,广告-51,00:03:00,0
北京,13:13:00,广告-52,00:03:00,0
北京,13:21:00,广告-53,00:03:00,0
北京,13:29:00,广告-54,00:03:00,0
北京,13:38:30,广告-55,00:03:00,0
北京,13:46:30,广告-56,00:03:00,0
北京,13:54:30,广告-57,00:03:00,0
北京,14:05:00,广告-58,00:03:00,0
北京,14:13:00,广告-59,00:03:00,0
北京,14:21:00,广告-60,00:03:00,0
北京,14:29:00,广告-61,00:03:00,0
北京,14:38:30,广告-62,00:03:00,0
北京,14:46:30,广告-63,00:03:00,0
北京,14:54:30,广告-64,00:03:00,0
北京,15:05:00,广告-65,00:03:00,0
北京,15:13:00,广告-66,00:03:00,0
北京,15:21:00,广告-67,00:03:00,0
北京,15:29:00,广告-68,00:03:00,0
北京,15:38:30,广告-69,00:03:00,0
