城市,线路名称,级别,新车号,旧车号,车型,合同编号,上刊内容,实际上刊时间,预计下刊时间,刊期,类别,车辆状态,营销中心,车牌号,车辆描述,公司名称,分公司名称,客户名称
北京,  ‘专97,A,23343,23343,XMQ6118G,,,,,,,班车,自营中心,京AA4847,单机,大公共公司,客二,
北京,  ‘专97,A,23352,23352,XMQ6118G,,,,,,,班车,自营中心,京AA4850,单机,大公共公司,客二,
北京,  ‘专97,A,23353,23353,XMQ6118G,,,,,,,班车,自营中心,京AA4844,单机,大公共公司,客二,
北京,  ‘专97,A,23349,23349,XMQ6118G,,,,,,,班车,自营中心,京AA4883,单机,大公共公司,客二,
北京,  ‘专96,A+,240042,34320,BK6150K1,,,,,,,运营车,CBS,京A/C6526,15米巡洋舰,大公共公司,客二,
北京,  ‘专96,A+,240043,34321,BK6150K1,,,,,,,运营车,CBS,京A/B9934,15米巡洋舰,大公共公司,客二,
北京,  ‘专96,A+,240044,34322,BK6150K1,,,,,,,运营车,CBS,京A/C0340,15米巡洋舰,大公共公司,客二,
北京,  ‘专96,A+,240045,34323,BK6150K1,,,,,,,运营车,CBS,京A/C0348,15米巡洋舰,大公共公司,客二,
北京,  ‘专96,A+,230089,S30085,DD6118S11,,,,,,,运营车,CBS,京A/B2090,单机,大公共公司,客二,
北京,  ‘专96,A+,230090,S30086,DD6118S11,,,,,,,运营车,CBS,京A/B2095,单机,大公共公司,客二,
北京,  ‘专96,A+,230091,S30094,DD6118S11,,,,,,,运营车,CBS,京A/B2109,单机,大公共公司,客二,
北京,  ‘专96,A+,240046,34221,BK6141D1,BB15-CBS-112-1,中粮长城,2015/9/15 0:00,2015/12/14 0:00,90,,运营车,CBS,京A/A7844,14米巡洋舰,大公共公司,客二,北京金景盛传媒广告有限公司
北京,  ‘专96,A+,240047,34222,BK6141D1,BB15-CBS-112-1,中粮长城,2015/9/15 0:00,2015/12/14 0:00,90,,运营车,CBS,京A/A7845,14米巡洋舰,大公共公司,客二,北京金景盛传媒广告有限公司
北京,  ‘专96,A+,240048,34223,BK6141D1,BB15-CBS-112-1,中粮长城,2015/9/15 0:00,2015/12/14 0:00,90,,机动车,CBS,京A/A7846,14米巡洋舰,大公共公司,客二,北京金景盛传媒广告有限公司
北京,  ‘专96,A+,240049,34224,BK6141D1,BB15-CBS-112-1,中粮长城,2015/9/15 0:00,2015/12/14 0:00,90,,运营车,CBS,京A/A7847,14米巡洋舰,大公共公司,客二,北京金景盛传媒广告有限公司
北京,  ‘专96,A+,240050,34225,BK6141D1,BB15-CBS-112-1,中粮长城,2015/9/15 0:00,2015/12/14 0:00,90,,运营车,CBS,京A/A7848,14米巡洋舰,大公共公司,客二,北京金景盛传媒广告有限公司
北京,  ‘专96,A+,240051,34226,BK6141D1,BB15-CBS-112-1,中粮长城,2015/9/15 0:00,2015/12/14 0:00,90,,运营车,CBS,京A/A7849,14米巡洋舰,大公共公司,客二,北京金景盛传媒广告有限公司
北京,  ‘专96,A+,240052,34227,BK6141D1,BB15-CBS-112-1,中粮长城,2015/9/15 0:00,2015/12/14 0:00,90,,运营车,CBS,京A/A7850,14米巡洋舰,大公共公司,客二,北京金景盛传媒广告有限公司
北京,  ‘专96,A+,240053,34228,BK6141D1,BB15-CBS-112-1,中粮长城,2015/9/15 0:00,2015/12/14 0:00,90,,运营车,CBS,京A/A7851,14米巡洋舰,大公共公司,客二,北京金景盛传媒广告有限公司
北京,  ‘专96,A+,240054,34229,BK6141D1,,,,,,,运营车,CBS,京A/A7852,14米巡洋舰,大公共公司,客二,
北京,  ‘专96,A+,240055,34230,BK6141D1,,,,,,,机动车,CBS,京A/A7853,14米巡洋舰,大公共公司,客二,
北京,  ‘专94,A,312008,,BJ6851C6BCD,,,,,,,运营车,自营中心,京AR3630,单机,大公共公司,客三,
北京,  ‘专94,A,312009,,BJ6851C6BCD,,,,,,,运营车,自营中心,京AR3608,单机,大公共公司,客三,
北京,  ‘专94,A,312010,,BJ6851C6BCD,,,,,,,运营车,自营中心,京AR3657,单机,大公共公司,客三,
北京,  ‘专93,A,312006,,BJ6851C6BCD,,,,,,,运营车,自营中心,京AR3650,单机,大公共公司,客三,
北京,  ‘专93,A,312007,,BJ6851C6BCD,,,,,,,运营车,自营中心,京AR3618,单机,大公共公司,客三,
北京,  ‘专91,A,670056,S70276,JNP6120GC,,,,,,,机动车,自营中心,京A/B9900,单机,大公共公司,客六,
北京,  ‘专91,A,670057,S70277,JNP6120GC,,,,,,,机动车,自营中心,京A/B9865,单机,大公共公司,客六,
北京,  ‘专91,A,670058,S70278,JNP6120GC,,,,,,,机动车,自营中心,京A/B9911,单机,大公共公司,客六,
北京,  ‘专91,A,670052,S70260,JNP6120GC,,,,,,,运营车,自营中心,京A/B9725,单机,大公共公司,客六,
北京,  ‘专91,A,670053,S70262,JNP6120GC,,,,,,,运营车,自营中心,京A/B9662,单机,大公共公司,客六,
北京,  ‘专91,A,670054,S70263,JNP6120GC,,,,,,,运营车,自营中心,京A/B9700,单机,大公共公司,客六,
北京,  ‘专91,A,670055,S70271,JNP6120GC,,,,,,,班车,自营中心,京A/B8954,单机,大公共公司,客六,
北京,  ‘专89,A,13008,13008,DHZ6111CF,,,,,,,机动车,自营中心,京AA8223,单机,大公共公司,客一,
北京,  ‘专89,A,13244,73470,XMQ6118G,,,,,,,运营车,自营中心,京A86892,单机,大公共公司,客一,
北京,  ‘专89,A,13245,73471,XMQ6118G,,,,,,,运营车,自营中心,京A86893,单机,大公共公司,客一,
北京,  ‘专89,A,13713,73351,DD6118S11,,,,,,,运营车,自营中心,京AA9201,单机,大公共公司,客一,
北京,  ‘专89,A,13714,73352,DD6118S11,,,,,,,运营车,自营中心,京AA9202,单机,大公共公司,客一,
北京,  ‘专89,A,13727,33676,DD6118S11,,,,,,,运营车,自营中心,京AB6184,单机,大公共公司,客一,
北京,  ‘专89,A,13728,33677,DD6118S11,,,,,,,运营车,自营中心,京AB6288,单机,大公共公司,客一,
北京,  ‘专89,A,13730,33679,DD6118S11,,,,,,,运营车,自营中心,京AB6241,单机,大公共公司,客一,
北京,  ‘专89,A,13731,33680,DD6118S11,,,,,,,运营车,自营中心,京AB6242,单机,大公共公司,客一,
北京,  ‘专89,A,13734,33683,DD6118S11,,,,,,,运营车,自营中心,京AB6275,单机,大公共公司,客一,
北京,  ‘专89,A,13735,33684,DD6118S11,,,,,,,运营车,自营中心,京AB6140,单机,大公共公司,客一,
北京,  ‘专89,A,13545,33742,XMQ6118G,,,,,,,运营车,自营中心,京AB1322,单机,大公共公司,客一,
北京,  ‘专89,A,13546,33743,XMQ6118G,,,,,,,运营车,自营中心,京AB1323,单机,大公共公司,客一,
北京,  ‘专87,A+,77025,Z70093,DD6129S05,,,,,,,运营车,自营中心,京AB8664,单机,大公共公司,客七,
北京,  ‘专87,A+,77026,Z70094,DD6129S05,,,,,,,运营车,自营中心,京AB8649,单机,大公共公司,客七,
北京,  ‘专87,A+,77027,Z70095,DD6129S05,,,,,,,运营车,自营中心,京AB8684,单机,大公共公司,客七,
北京,  ‘专87,A+,77028,Z70096,DD6129S05,,,,,,,运营车,自营中心,京AB8676,单机,大公共公司,客七,
北京,  ‘专87,A+,77029,Z70097,DD6129S05,,,,,,,运营车,自营中心,京AB8665,单机,大公共公司,客七,
北京,  ‘专87,A+,77030,Z70098,DD6129S05,,,,,,,运营车,自营中心,京AB8590,单机,大公共公司,客七,
北京,  ‘专87,A+,710041,,BJ6851C6BCD,,,,,,,运营车,自营中心,京AQ7082,单机,大公共公司,客七,
北京,  ‘专87,A+,710042,,BJ6851C6BCD,,,,,,,运营车,自营中心,京AQ7062,单机,大公共公司,客七,
北京,  ‘专87,A+,710043,,BJ6851C6BCD,,,,,,,运营车,自营中心,京AQ7015,单机,大公共公司,客七,
北京,  ‘专87,A+,710044,,BJ6851C6BCD,,,,,,,运营车,自营中心,京AQ7058,单机,大公共公司,客七,
北京,  ‘专87,A+,710045,,BJ6851C6BCD,,,,,,,运营车,自营中心,京AQ7061,单机,大公共公司,客七,
北京,  ‘专87,A+,710046,,BJ6851C6BCD,,,,,,,运营车,自营中心,京AQ7053,单机,大公共公司,客七,
北京,  ‘专87,A+,710047,,BJ6851C6BCD,,,,,,,运营车,自营中心,京AQ7097,单机,大公共公司,客七,
北京,  ‘专87,A+,710048,,BJ6851C6BCD,,,,,,,运营车,自营中心,京AQ7059,单机,大公共公司,客七,
北京,  ‘专87,A+,710049,,BJ6851C6BCD,,,,,,,运营车,自营中心,京AQ7087,单机,大公共公司,客七,
北京,  ‘专87,A+,710050,,BJ6851C6BCD,,,,,,,运营车,自营中心,京AQ7057,单机,大公共公司,客七,
北京,  ‘专82,A,5149,,XMQ6798,,,,,,,运营车,自营中心,京AK5149,单机,大公共公司,客四,
北京,  ‘专82,A,5153,,XMQ6798,,,,,,,运营车,自营中心,京AK5153,单机,大公共公司,客四,
北京,  ‘专82,A,5131,,XMQ6798,,,,,,,运营车,自营中心,京AK5131,单机,大公共公司,客四,
北京,  ‘专82,A,5145,,XMQ6798,,,,,,,运营车,自营中心,京AK5145,单机,大公共公司,客四,
北京,  ‘专82,A,5157,,XMQ6798,,,,,,,运营车,自营中心,京AK5157,单机,大公共公司,客四,
北京,  ‘专81,A,83081,73607,BK6125DK,,,,,,,运营车,自营中心,京AB6494,单机,大公共公司,客八,
北京,  ‘专81,A,83082,73608,BK6125DK,,,,,,,运营车,自营中心,京AB6496,单机,大公共公司,客八,
北京,  ‘专81,A,83083,73609,BK6125DK,,,,,,,运营车,自营中心,京AB6498,单机,大公共公司,客八,
